item_name,price
"2 (8 ounce) packages cream cheese, softened",4
1/4 cup chopped pecans,2.5
2 eggs,0.2
1 cup mayonnaise,0.25
"1 butternut squash - peeled, seeded, and cubed",3.5
"2 cups cubed eggplant, with peel",2.77
2 cups cubed zucchini,1
"1 (10 ounce) package frozen okra, thawed",1.34
1 (8 ounce) can tomato sauce,0.55
"1 ripe tomato, chopped",1
"1 carrot, sliced thin",0.35
1/2 cup vegetable broth,0.15
"4 skinless, boneless chicken breast halves",2.5
2 cups natural cream of chicken soup,2
"10 ounces refrigerated reduced-fat biscuit dough, torn into pieces",2
5 slices bacon,2.5
"1 1/2 cups whole almonds, raw",7
"8 ounces cream cheese, softened",1
crackers,2
1/2 cup mayonnaise,0.15
2 sheets puff pastry,4.88
"2 teaspoons all-purpose flour, or as needed",0.3
8 1/2 ounces ricotta cheese,1.5
8 1/2 ounces pesto,4.5
1 pound ground turkey,5
2 (10.75 ounce) cans low sodium tomato soup,2
"2 (15 ounce) cans kidney beans, drained",2
"1 (15 ounce) can black beans, drained",1
"1/2 medium onion, chopped",1
1 (28 ounce) can diced tomatoes with juice,1.3
"1 large green bell pepper, chopped",1
1 cup chicken broth,1
1 pound frozen cooked shrimp without tails,10
"1 1/2 pounds pork tenderloin, cut into 2 inch strips",5.99
"1 small onion, coarsely chopped",1
"1 small red bell pepper, coarsely chopped",1
3 (15 ounce) cans black beans,3
1 (16 ounce) jar salsa,1
1/2 cup chicken broth,0.5
"1 pound sliced bacon, cut in half",6.99
"1 (6 ounce) can crabmeat, drained and flaked",2.39
1/4 cup duck sauce,0.75
3 strips bacon,1.5
1 (8 ounce) can jellied cranberry sauce,1.59
1 1/2 teaspoons lemon juice,0.1
6 large mushrooms,1
3 ounces cream cheese,1
3 ounces blue cheese,3.99
"1/2 onion, diced",0.5
"1 clove garlic, sliced",0.5
4 teaspoons peanut butter,0.5
2 tablespoons honey,0.5
"1 banana, peeled and halved lengthwise",1
2 large whole wheat tortillas,1.89
"4 ounces goat cheese, softened",4.99
3 tablespoons chopped fresh flat-leaf parsley,0.6
2 tablespoons chopped fresh tarragon,0.4
1 tablespoon chopped fresh thyme,0.2
"1/2 clove garlic, minced, or more to taste",0.25
"1 cup whole almonds, or as needed",2.5
"1 pinch cayenne pepper, or to taste",0.1
12 thin slices prosciutto,13
4 10-inch low carb whole wheat tortillas,1.2
"1/2 cup hummus spread, divided",1
1 (7 ounce) jar marshmallow creme,3.25
"1 (19 ounce) can garbanzo beans, half the liquid reserved",1.19
2 tablespoons tahini,0.2
2 (14.5 ounce) cans stewed tomatoes,2
"1/4 cup canned sliced green chiles, or to taste",2.25
"12 ounces cream cheese, softened",2.19
1 (8 ounce) package shredded Cheddar cheese,1.29
"1 1/2 tablespoons margarine, melted",0.15
2 cups raw whole pumpkin seeds,3
"1 (10 ounce) package frozen chopped spinach - thawed, drained and squeezed dry",2.25
"1 (10 ounce) package spinach, rinsed and chopped",1.99
1 teaspoon baking powder,0.15
1 (1 pound) loaf round sourdough bread,3.29
2 teaspoons cornstarch,0.2
"1 (4 ounce) can water chestnuts, drained and chopped",3
"1/2 (10 ounce) package frozen chopped spinach, thawed and drained",2.25
2 slices bacon,2.25
"6 fresh jalapeno peppers, halved lengthwise and seeded",4.99
4 tablespoons water,0
1/4 cup sliced green onions,1.19
"12 ounces cooked shrimp, tails removed",10.89
1/2 cup melted butter,0.5
20 chicken wings,12
3 pounds chicken wings,6.99
1 cup all-purpose flour for coating,0.1
1 cup crushed buttery round cracker crumbs,3.2
1 (8 ounce) package elbow macaroni,1.99
1 (8 ounce) package shredded sharp Cheddar cheese,2.99
"1/4 cup butter, melted",0.5
4 (4 ounce) fillets salmon,10.99
"2 pounds fresh shrimp, peeled and deveined",12.99
"1 (16 ounce) can black beans, drained and rinsed",1.99
1/2 cup bread crumbs,1.25
"3 eggplant, peeled and thinly sliced",3.29
4 cups Italian seasoned bread crumbs,4.99
1 pound ground beef,4.99
1 pound angel hair pasta,1.99
"6 skinless, boneless chicken breast halves",4.99
1/2 cup white wine,3.99
1 (10.75 ounce) can condensed golden mushroom soup,2.99
1/2 cup unpopped popcorn kernels,2.99
1 pound extra lean ground beef,6.99
"1 dash hot pepper sauce (such as Frank's RedHot®), or to taste",0.2
1 (15 ounce) can black-eyed peas,2.99
"1 (15 ounce) can black beans, rinsed and drained",1.99
"1 (15 ounce) can whole kernel corn, drained",3.99
1 (4 ounce) can diced jalapeno peppers,3.99
1 pound cubed beef stew meat,5.99
1 tablespoon Worcestershire sauce,2.29
"1 skinless, boneless chicken breast half",1.15
3/4 cup shredded Monterey Jack cheese,2.89
5 (6 inch) flour tortillas,3.99
1 quart oil for deep frying,6.99
2 (4 pound) whole chickens,7.99
"2 onions, quartered",2.2
"2 pounds large shrimp, peeled and deveined with tails attached",14.99
"1 pound sliced bacon, cut into thirds",5.99
1 (14 ounce) package beef cocktail wieners,6.99
1 (10.5 ounce) can condensed French onion soup,2.29
1/2 teaspoon mustard powder,0.5
6 (12 inch) flour tortillas,2.29
1 tablespoon butter,1.19
1 1/2 cups cubed cooked chicken breast meat,2.99
2 cups rolled oats,3.99
3/4 cup packed brown sugar,2.99
4 teaspoons taco seasoning mix,2
2 teaspoons vanilla extract,0.05
2/3 cup beer,1
24 shrimp,16.99
1 (2 pound) pork tenderloin,6.99
"8 hamburger buns, split and lightly toasted",4.99
1 1/2 pounds salmon fillets,14.99
garlic powder to taste,0.1
1/4 cup maple syrup,0.25
1 pound salmon,12.99
6 pork chops,6.99
1 tablespoon cornstarch,0.1
12 skinless chicken thighs,6.99
1 1/2 pounds lean ground beef,7.99
3/4 cup finely crushed saltine cracker crumbs,1.99
1/2 cup Parmesan cheese,0.8
1 pound pecan halves,10
1 cup shredded Cheddar cheese,2
1 cup grated Parmesan cheese,1
1 cup cooked and peeled shrimp,4.99
"1 (14 ounce) can artichoke hearts, drained",1.19
1/2 cup chopped green onions,1
1 pound lean ground turkey,5
3 1/2 cups fresh spinach,2.99
7 slices pepper Jack cheese (such as Borden®),1.99
2 cups seedless grapes,2
salt and freshly ground black pepper to taste,0.1
1/2 cup ricotta cheese,1
2 teaspoons chopped fresh oregano,0.3
"1 (8 ounce) package bacon, chopped",9.99
"2 (16 ounce) packages frozen sweet corn, thawed",11.98
"1 bunch green onions, sliced",0.78
1 pinch salt and freshly ground black pepper to taste,0.1
1 (2 pound) bag frozen cooked meatballs,6.99
1 (14.5 ounce) can whole berry cranberry sauce,1.59
"1 avocado - peeled, pitted, and sliced - divided",1
"4 small tomatoes, sliced",3
"1 pound skinless, boneless chicken breast halves - cubed",4.99
1 cup frozen green peas,0.5
2 (9 inch) unbaked pie crusts,6.99
16 Boston Bibb or butter lettuce leaves,0.25
"1 (8 ounce) can water chestnuts, drained and finely chopped",3.29
1 pound sweet Italian sausage,5.99
3/4 pound lean ground beef,4.99
12 lasagna noodles,4.99
1 bunch kale,0.89
1 (16 ounce) package little smokie sausages,4.99
2 cups shredded Cheddar cheese,1.99
1 (1 ounce) package taco seasoning mix,1
1 (16 ounce) container sour cream,2
8 slices bacon,2.99
"1 avocado - peeled, pitted and diced",1
4 (10 inch) flour tortillas,2
1 (10 ounce) container Alfredo-style pasta sauce,1.29
"1 (10 ounce) package frozen chopped spinach, thawed and drained",1.99
"1/2 cup frozen chopped spinach, thawed and drained",1.29
1 (12 ounce) bottle tomato-based chili sauce,0.99
"1/2 lemon, juiced",0.5
2 cups uncooked brown rice,0.89
6 roma (plum) tomatoes,3
1 cup quinoa,0.8
"1 red bell pepper, chopped",1
"3 avocados - peeled, pitted, and mashed",3
"1 lime, juiced",1
1/2 cup diced onion,0.5
1 teaspoon minced garlic,0.15
"2 roma (plum) tomatoes, diced",1.89
1 (12 inch) whole wheat tortilla,0.6
1 cup mixed baby salad greens,0.6
"4 cherry tomatoes, chopped",1
2 tablespoons crumbled goat cheese,0.5
2 tablespoons diced roasted red peppers,0.75
10 chicken wings,4.29
"2 (10 ounce) cans chunk chicken, drained",1.98
1 cup Ranch dressing,2
"1 bunch celery, cleaned and cut into 4 inch pieces",2
"1/2 cup sun-dried tomatoes, packed in oil",2
1 dash ground black pepper,0.05
"2 ounces canned diced jalapeno peppers, drained",1.99
"4 skinless, boneless chicken breasts, thinly sliced",4.99
4 cups warm cooked rice,0.5
12 whole fresh mushrooms,2.99
"1 (8 ounce) package cream cheese, softened",0.89
"1 roasted red bell pepper, sliced",1
"1 small head lettuce leaves, or to taste",1.29
1 teaspoon red pepper flakes,0.05
"3 tablespoons fruit preserves, any flavor",0.29
1 (8 ounce) box chicken-flavored crackers,2.19
"2 kiwis, peeled and diced",2
"2 Golden Delicious apples - peeled, cored and diced",2
1/4 cup grated Romano cheese,1.19
1 egg white,0.05
"1/4 cup butter, softened",0.25
3 tablespoons mayonnaise,0.25
1/2 cup packed brown sugar,0.35
3 tablespoons white sugar,0.3
1/2 teaspoon ground cinnamon,0.1
"1/4 cup unsalted butter, melted'",0.25
1/2 cup white sugar,0.13
1/2 teaspoon vanilla extract,0.02
"4 cups apples - peeled, cored and thinly sliced",4
1/3 cup white sugar,0.1
1/3 cup raisins,1
"1 clove garlic, chopped",0.5
1/2 teaspoon ground cumin,0.07
1/2 teaspoon ground turmeric,0.07
1/4 teaspoon crushed red pepper,0.35
1/4 teaspoon ground cinnamon,0.35
1/4 teaspoon paprika,0.35
"2 tablespoons frozen chopped spinach, thawed and drained",0.89
1/3 cup white wine,1
1 (10.75 ounce) can condensed cream of mushroom soup,1.99
2 tablespoons diced jalapeno peppers,0.69
1 1/2 tablespoons Worcestershire sauce,0.2
1/2 cup seasoned bread crumbs,0.55
1 teaspoon freshly ground black pepper,0.05
1 (12 ounce) package fresh green beans,1
"1 pound skinless, boneless chicken thighs, coarsely chopped",4.99
2 (10.5 ounce) cans condensed beef broth,3.99
2 cups diced cooked beef,4.99
6 tablespoons all-purpose flour,0.35
3/4 cup orzo,0.99
"1 large bunch dinosaur kale, coarsely chopped",1.99
1/2 pound ditalini pasta (optional),1.99
"1 (10 ounce) can mandarin oranges, drained",1.29
1 (10 ounce) bag baby spinach leaves,0.99
1/4 cup pine nuts,0.5
1 cup sour cream,0.99
"12 ounces jalapeno peppers, seeded and halved",1.29
3/4 cup finely chopped pecans,3.99
3/4 cup miniature semisweet chocolate chips,1.99
1 (12 ounce) container small curd cottage cheese,2.29
"1/2 green bell pepper, cut into 2 inch pieces",1
3/4 cup confectioners' sugar,0.65
"1 tomato - peeled, seeded and diced",0.8
2 tablespoons butter,2.38
"1 onion, finely diced",1
"3 carrots, sliced",3
1 cup frozen peas,0.5
1 tablespoon chopped green onions,0.25
1/2 teaspoon dried dill weed,0.15
pinch of freshly ground black pepper,0.1
1 teaspoon whole pine nuts (optional),0.5
1 tablespoon vegetable oil,0.15
2 tablespoons chili powder,0.3
1/2 tablespoon garlic powder,0.07
1/2 tablespoon ground cumin,0.07
1 pinch ground black pepper,0.1
1 pinch ground allspice,0.1
2 teaspoons Cajun seasoning,0.3
2 teaspoons dried parsley,0.3
1 teaspoon cayenne pepper,0.15
½ teaspoon dried thyme,0.07
1 teaspoon ground cumin,0.15
2 teaspoons chili powder,0.3
1/3 cup bread crumbs,0.25
1/4 cup shredded coconut,0.29
1/2 cup granola,1.98
3 large fresh rosemary sprigs,2.99
4 slices mozzarella cheese,1.29
"1 cup torn lettuce leaves, divided",0.1
1/2 teaspoon garlic salt,0.07
"2 serrano chile peppers, stemmed",0.76
"paprika, for garnish",0.05
,
"1 (2 inch) piece fresh ginger, peeled and thinly sliced",0.65
